draw_date,n1,n2,n3,n4,n5,n6,jolly,superstar
2023-09-16,23,27,53,55,74,86,79,65
2023-09-15,5,12,42,51,55,80,35,60
2023-09-14,23,29,41,55,76,79,11,5
2023-09-12,26,28,41,47,81,84,70,70
2023-09-09,6,17,28,43,46,76,61,84
2023-09-08,13,30,42,58,80,86,33,72
2023-09-07,2,15,34,40,57,89,88,73
2023-09-05,14,19,20,26,33,65,15,36
2023-09-02,7,14,15,49,86,90,82,19
2023-09-01,18,53,57,67,75,80,77,39
2023-08-31,9,15,61,66,72,73,2,79
2023-08-29,52,53,56,69,82,90,6,50
2023-08-26,8,11,23,59,73,75,14,11
2023-08-25,4,12,41,57,77,78,40,3
2023-08-24,3,34,54,67,71,77,2,49
2023-08-22,32,45,47,61,67,75,6,83
2023-08-19,5,6,18,23,49,61,22,82
2023-08-18,5,13,41,58,70,73,1,28
2023-08-17,10,12,14,53,63,71,41,41
2023-08-14,6,28,46,64,77,82,20,15
2023-08-12,2,40,48,78,81,90,55,14
2023-08-11,31,45,46,52,69,83,76,34
2023-08-10,9,21,43,49,53,86,68,62
2023-08-08,3,4,5,71,81,82,64,10
2023-08-05,7,9,17,18,47,81,61,20
2023-08-04,5,21,57,71,72,84,66,11
2023-08-03,4,6,9,33,65,73,48,12
2023-08-01,11,32,36,40,54,63,78,57
2023-07-29,27,39,58,60,68,85,45,82
2023-07-28,1,23,33,50,55,78,45,82
2023-07-27,18,39,48,50,57,83,38,55
2023-07-25,6,30,48,69,71,74,62,22
2023-07-22,2,37,50,65,68,90,67,60
2023-07-21,13,38,52,56,73,90,7,24
2023-07-20,14,41,47,62,65,88,39,37
2023-07-18,22,45,49,52,60,65,23,26
2023-07-15,40,45,51,52,56,78,30,5
2023-07-14,38,41,43,55,61,71,59,75
2023-07-13,20,38,49,50,53,64,72,62
2023-07-11,39,41,58,64,71,77,9,74
2023-07-08,8,18,20,28,41,56,58,55
2023-07-07,1,13,23,73,83,85,79,3
2023-07-06,5,17,27,38,53,57,30,16
2023-07-04,11,23,50,68,89,90,41,32
2023-07-01,17,39,41,43,87,89,33,44
2023-06-29,1,27,38,41,79,81,39,29
2023-06-27,31,46,57,70,71,80,75,8
2023-06-24,1,21,32,35,59,86,38,6
2023-06-22,21,30,38,65,67,90,77,7
2023-06-20,7,42,56,69,74,76,45,4
2023-06-17,12,18,26,40,53,63,54,58
2023-06-15,4,9,21,24,52,71,8,58
2023-06-13,6,37,53,54,72,84,74,84
2023-06-10,8,30,33,40,64,78,42,59
2023-06-08,3,8,58,66,82,87,69,55
2023-06-06,17,26,51,54,61,62,73,8
2023-06-03,27,39,56,58,63,64,55,38
2023-06-01,2,37,64,83,89,90,34,23
2023-05-30,10,22,37,55,76,87,60,43
2023-05-27,12,41,64,78,79,88,58,86
2023-05-25,20,22,33,38,40,51,44,76
2023-05-23,13,23,26,27,50,63,71,1
2023-05-20,18,32,37,46,64,70,30,44
2023-05-18,5,16,35,63,69,77,29,3
2023-05-16,20,42,52,67,72,77,82,3
2023-05-13,3,31,35,57,82,84,68,16
2023-05-11,1,6,35,48,62,65,43,83
2023-05-09,18,25,41,44,60,78,36,72
2023-05-06,10,25,40,46,47,74,7,31
2023-05-04,6,9,23,57,62,72,16,22
2023-05-02,17,43,60,71,86,88,16,49
2023-04-29,21,43,55,56,73,89,13,2
2023-04-27,7,10,62,63,77,86,5,44
2023-04-24,3,7,46,69,75,82,81,28
2023-04-22,6,18,22,25,26,47,60,61
2023-04-20,4,5,7,21,45,52,77,37
2023-04-18,5,36,62,64,66,67,53,2
2023-04-15,7,22,36,52,79,86,38,51
2023-04-13,2,11,42,73,76,90,55,35
2023-04-11,9,40,55,60,69,70,34,70
2023-04-08,17,25,32,38,43,48,67,73
2023-04-06,4,28,30,42,45,50,27,55
